,"8,?,?,Lakewoodcity,1,0.19,0.33,0.02,0.9,0.12,0.17,0.34,0.47,0.29,0.32,0.2,1,0.37,0.72,0.34,0.6,0.29,0.15,0.43,0.39,0.4,0.39,0.32,0.27,0.27,0.36,0.41,0.08,0.19,0.1,0.18,0.48,0.27,0.68,0.23,0.41,0.25,0.52,0.68,0.4,0.75,0.75,0.35,0.55,0.59,0.61,0.56,0.74,0.76,0.04,0.14,0.03,0.24,0.27,0.37,0.39,0.07,0.07,0.08,0.08,0.89,0.06,0.14,0.13,0.33,0.39,0.28,0.55,0.09,0.51,0.5,0.21,0.71,0.52,0.05,0.26,0.65,0.14,0.06,0.22,0.19,0.18,0.36,0.35,0.38,0.34,0.38,0.46,0.25,0.04,0,0.12,0.42,0.5,0.51,0.64,0.03,0.13,0.96,0.17,0.06,0.18,0.44,0.13,0.94,0.93,0.03,0.07,0.1,0.07,0.02,0.57,0.29,0.12,0.26,0.2,0.06,0.04,0.9,0.5,0.32,0.14,0.2"
735,"42,3,75816,Swissvaleborough,4,0,0.18,0.19,0.84,0.03,0.01,0.24,0.4,0.21,0.69,0.02,1,0.2,0.34,0,0.5,0.65,0.41,0.62,0.19,0.27,0.28,0.2,0,0.22,0,0.81,0.01,0.32,0.31,0.37,0.33,0.41,0.36,0.26,0.75,0.26,0.56,0.49,0.55,0.48,0.51,0.32,0.4,0.5,0.45,0.42,0.4,0.41,0.01,0.24,0,0,0.27,0.3,0.25,0,0.04,0.04,0.03,0.9,0.02,0.14,0.11,0.2,0.32,0.12,0.52,0.03,0.62,0,0.02,0.73,0.45,0.45,0.68,0.02,0.11,0.66,0.05,0.04,0.05,0.24,0.24,0.25,0.26,0.38,0.38,0.51,0,0,0.06,0.95,0.76,0.93,0.88,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.74,0.94,?,?,?,?,0,?,0.17"
736,"33,17,19700,Durhamtown,4,0,1,0.01,0.96,0.12,0.01,1,1,1,0.15,0.01,0.78,0.51,0.71,0.25,0.92,0.33,0.15,0.56,0.68,0.26,0.25,0.15,0,0.15,0.68,0.4,0.01,0.51,0.02,0.01,1,0.51,0.25,0.15,1,0.09,0.59,0.01,1,0,0,0.4,0.8,0.86,0.88,0.51,0.4,0.56,0,0.3,0,0.83,0.8,0.76,0.72,0.26,0.22,0.19,0.16,0.9,0.04,0.13,0.2,0.5,0.55,0.45,0.49,0.17,0.44,0.5,0,0.83,0.47,0.2,0.53,0.56,0.02,0.02,0.5,0.46,0.46,0.31,0.4,0.76,0.37,1,0.63,0.25,0,0,0.13,0.19,0.1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.06,0.04,0.14,?,?,?,?,0,?,0.04"
737,"23,5,60545,Portlandcity,4,0.09,0.24,0.02,0.95,0.1,0.01,0.32,0.57,0.38,0.46,0.1,1,0.25,0.48,0.16,0.49,0.48,0.46,0.4,0.31,0.33,0.33,0.23,0.11,0.19,0.16,0.5,0.08,0.37,0.23,0.27,0.48,0.42,0.53,0.19,0.57,0.28,0.51,0.63,0.66,0.62,0.65,0.34,0.41,0.47,0.48,0.39,0.48,0.47,0.05,0.4,0.02,0.45,0.53,0.59,0.53,0.16,0.17,0.17,0.14,0.9,0.05,0.15,0.11,0.24,0.39,0.19,0.32,0.06,0.66,0,0.16,0.6,0.27,0.22,0.59,0,0.27,0.25,0.26,0.26,0.25,0.37,0.4,0.46,0.39,0.59,0.58,0.67,0.11,0,0.15,0.65,0.43,0.61,0.55,0.02,0.22,0.98,0.21,0.04,0.25,0.38,0.22,0.94,0.99,0.02,0,0,0.01,0.03,0.71,0.09,0.06,0.24,0.21,0.02,0.01,0.35,1,0.5,0.11,0.28"
738,"48,?,?,Planocity,4,0.19,0.57,0.08,0.83,0.25,0.11,0.44,0.48,0.26,0.06,0.2,1,0.7,0.92,0.35,0.65,0.08,0.05,0.13,0.67,0.57,0.58,0.35,0.31,0.43,0.31,0.38,0.04,0.07,0.08,0.09,0.76,0.12,0.82,0.41,0.28,0.11,0.72,0.3,0.29,0.41,0.37,0.58,0.85,0.87,0.87,0.78,0.45,0.44,0.02,0.08,0.06,0.41,0.5,0.62,0.67,0.21,0.23,0.26,0.26,0.82,0.14,0.18,0.21,0.62,0.69,0.44,0.69,0.12,0.23,0.5,0.16,0.75,0.65,0.06,0.46,0.88,0.11,0.08,0.25,0.26,0.28,0.48,0.46,0.55,0.49,0.31,0.54,0.26,0,0,0.22,0.35,0.34,0.22,0.35,0.02,0.08,0.96,0.12,0.03,0.07,0.22,0.08,0.85,0.92,0.06,0.06,0,0.08,0.01,0.64,0.07,0.19,0.16,0.07,0.06,0.03,0.99,0,0.24,0.08,0.13"
739,"51,510,1000,Alexandriacity,4,0.16,0.15,0.43,0.53,0.26,0.18,0.16,0.58,0.3,0.3,0.18,1,0.49,0.77,0.19,0.59,0.19,0.13,0.4,0.54,0.7,0.85,0.36,0.39,0.38,0.33,0.44,0.07,0.18,0.2,0.21,0.8,0.17,0.82,0.06,0.55,0.13,0.84,0.7,0.71,0.68,0.71,0.28,0.44,0.44,0.59,0.32,0.7,0.73,0.1,0.59,0.12,0.64,0.72,0.79,0.8,0.73,0.72,0.71,0.66,0.68,0.32,0.23,0.13,0.14,0.14,0.22,0.22,0.23,0.81,0,0.26,0.65,0.25,0.04,0.09,0.5,0.13,0.2,0.52,0.61,0.7,0.71,0.66,0.79,0.63,0.44,0.51,0.26,0.22,0,0.48,0.15,0.29,0.19,0.03,0.04,0.21,0.95,0.25,0.04,0.13,0.19,0.21,0.65,0.75,0.31,0.04,0.22,0.26,0.1,0.57,0.57,0.04,0.61,1,0.13,0.07,0.71,0,1,0.27,0.27"
740,"25,9,1185,Amesburytown,4,0.01,0.47,0.01,0.98,0.03,0.01,0.34,0.45,0.26,0.35,0,0.05,0.43,0.6,0.26,0.39,0.44,0.31,0.49,0.45,0.35,0.34,0.19,0.24,0.61,0.13,0.58,0.01,0.15,0.29,0.34,0.34,0.54,0.57,0.6,0.4,0.41,0.43,0.47,0.42,0.45,0.48,0.49,0.64,0.68,0.73,0.73,0.51,0.57,0.01,0.21,0,0.13,0.15,0.19,0.16,0.03,0.03,0.04,0.03,0.89,0.04,0.19,0.19,0.48,0.58,0.37,0.53,0.07,0.52,0.5,0.02,0.68,0.48,0.02,0.68,0.19,0.16,0.11,0.39,0.37,0.36,0.49,0.51,0.54,0.51,0.39,0.66,0.81,0.01,0,0.1,0.78,0.59,0.84,0.79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.03,0.1,0.05,?,?,?,?,0,?,0.23"
741,"37,?,?,Shelbycity,4,0.01,0.31,0.83,0.34,0.01,0.01,0.38,0.41,0.28,0.66,0,0,0.14,0.4,0.16,0.29,0.68,0.61,0.41,0.17,0.23,0.35,0.17,0,0.31,0.16,0.24,0.02,0.51,0.58,0.69,0.24,0.56,0.33,0.85,0.35,0.85,0.33,0.66,0.43,0.66,0.7,0.37,0.11,0.15,0.14,0.05,0.53,0.63,0.03,0.78,0,0.31,0.53,0.5,0.49,0.02,0.04,0.03,0.03,0.96,0.06,0.21,0.18,0.32,0.27,0.4,0.38,0.11,0.58,0,0.02,0.77,0.42,0.31,0.46,0.44,0.57,0.28,0.08,0.08,0.1,0.09,0.13,0.14,0.19,0.58,0.51,0.46,0.01,0,0.03,0.83,0.57,0.83,0.81,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.14,0,?,?,?,?,0,?,0.59"
742,"28,?,?,Tupelocity,4,0.03,0.42,0.47,0.62,0.01,0.01,0.41,0.48,0.29,0.38,0,0,0.27,0.62,0.34,0.34,0.4,0.31,0.29,0.3,0.31,0.37,0.17,0.16,0.45,0.49,0.31,0.03,0.33,0.27,0.41,0.34,0.25,0.58,0.6,0.39,0.53,0.44,0.55,0.32,0.6,0.6,0.47,0.53,0.52,0.54,0.6,0.69,0.67,0.02,0.35,0,0.09,0.21,0.35,0.68,0,0.01,0.01,0.02,0.98,0.02,0.19,0.18,0.44,0.47,0.4,0.54,0.13,0.44,0.5,0.03,0.81,0.53,0.12,0.51,0.63,0.41,0.16,0.11,0.11,0.12,0.12,0.17,0.18,0.18,0.28,0.25,0.35,0.01,0,0.01,0.79,0.49,0.64,0.71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.15,0.05,0.01,?,?,?,?,0,?,0.12"
743,"6,?,?,Danvillecity,4,0.03,0.53,0.02,0.88,0.4,0.07,0.41,0.32,0.2,0.25,0.05,1,1,0.78,0.17,0.84,0.25,0.06,0.43,0.96,0.9,0.89,0.72,0.34,0.56,0.72,0.96,0.01,0.04,0.03,0.04,0.79,0.08,0.7,0.26,0.4,0.07,0.79,0.3,0.26,0.36,0.34,0.47,0.87,0.9,0.94,0.74,0.38,0.42,0,0.04,0.02,0.1,0.14,0.28,0.31,0.06,0.08,0.14,0.15,0.82,0.04,0.14,0.18,0.58,0.56,0.5,0.89,0.03,0.08,1,0.02,0.88,0.89,0.04,0.23,0.75,0,0.07,0.96,1,1,0.99,1,1,1,0.58,0.77,0.17,0,0,0.27,0.48,0.51,0.49,0.69,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.05,0.15,0.23,?,?,?,?,0,?,0.01"
744,"24,?,?,Greenbeltcity,4,0.02,0.23,0.38,0.55,0.55,0.07,0.38,0.79,0.58,0.17,0.03,1,0.45,0.82,0.28,0.55,0.14,0.08,0.26,0.48,0.49,0.5,0.48,0.11,0.32,0.34,0.46,0.02,0.24,0.08,0.12,0.73,0.19,0.81,0.1,0.7,0.11,0.71,0.56,0.83,0.66,0.64,0.29,0.48,0.56,0.81,0.52,0.58,0.73,0.01,0.19,0.02,0.57,0.7,0.79,0.81,0.61,0.66,0.67,0.64,0.7,0.15,0.1,0.07,0.25,0.18,0.37,0.24,0.23,0.76,0,0.03,0.77,0.3,0,0.03,0.58,0.06,0.07,0.18,0.21,0.26,0.78,0.68,0.69,0.63,0.4,0.37,0.24,0,0,0.45,0.18,0.19,0.33,0.19,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.3,0.53,?,?,?,?,0,?,0.23"
745,"38,89,19620,Dickinsoncity,4,0.01,0.41,0,0.98,0.02,0.01,0.45,0.49,0.32,0.43,0,0,0.17,0.51,1,0.52,0.52,0.33,0.18,0.21,0.17,0.16,0.01,0.12,0.04,0.63,0.25,0.02,0.38,0.61,0.43,0.26,0.28,0.52,0.11,0.52,0.39,0.36,0.26,0.41,0.32,0.31,0.51,0.72,0.78,0.84,0.65,0.71,0.61,0,0.1,0,0.14,0.1,0.14,0.22,0.01,0.01,0.01,0.01,0.84,0.04,0.23,0.2,0.41,0.52,0.25,0.62,0.09,0.46,0.5,0.03,0.61,0.55,0.05,0.7,0.71,0.15,0.18,0.06,0.05,0.05,0.09,0.13,0.13,0.09,0.36,0.47,0.51,0,0,0.03,0.84,0.5,0.73,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.03,0.13,0.01,?,?,?,?,0,?,0.02"
746,"44,3,74300,Warwickcity,4,0.12,0.39,0.02,0.97,0.05,0.02,0.33,0.4,0.24,0.56,0.14,1,0.4,0.54,0.12,0.56,0.6,0.24,0.66,0.42,0.38,0.37,0.35,0.19,0.43,0.32,0.56,0.04,0.11,0.2,0.37,0.33,0.32,0.54,0.45,0.42,0.34,0.43,0.38,0.38,0.39,0.4,0.46,0.76,0.76,0.85,0.6,0.59,0.63,0.02,0.1,0.02,0.11,0.14,0.15,0.17,0.03,0.04,0.03,0.04,0.9,0.04,0.17,0.16,0.41,0.49,0.17,0.77,0.05,0.48,0.5,0.09,0.82,0.71,0.17,0.46,0.4,0.06,0.17,0.29,0.27,0.26,0.34,0.47,0.55,0.47,0.55,0.54,0.56,0,0,0.12,0.79,0.78,0.72,0.81,0.02,0.18,0.96,0.24,0.04,0.19,0.33,0.18,0.97,0.99,0.02,0,0,0.01,0.02,0.79,0.15,0.1,0.2,0.1,0.05,0.03,0.97,0,0.37,0.18,0.17"
747,"39,153,57260,Nortoncity,4,0,0.52,0.02,0.98,0.02,0.01,0.4,0.38,0.24,0.46,0.02,1,0.37,0.51,0.11,0.57,0.56,0.19,0.63,0.35,0.3,0.28,0.52,0.38,0.46,0,0,0,0.13,0.22,0.39,0.21,0.31,0.48,0.58,0.3,0.46,0.37,0.31,0.26,0.25,0.28,0.49,0.84,0.81,0.8,0.84,0.49,0.43,0,0.04,0,0.33,0.25,0.2,0.17,0.04,0.02,0.02,0.01,0.94,0.06,0.2,0.23,0.57,0.54,0.51,0.92,0.06,0.21,0.5,0,0.92,0.91,0.47,0.75,0.38,0.07,0.19,0.13,0.12,0.12,0.22,0.25,0.25,0.31,0.32,0.16,0.39,0,0,0.04,0.82,0.74,0.85,0.86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.06,0.05,0.02,?,?,?,?,0,?,0.07"
748,"50,7,66175,SouthBurlingtoncity,4,0,0.34,0.01,0.96,0.12,0.01,0.37,0.52,0.33,0.33,0.02,1,0.51,0.68,0.14,0.72,0.34,0.03,0.37,0.51,0.51,0.5,0.6,0.16,0.33,0,0.75,0,0.08,0.1,0.13,0.64,0.09,0.69,0.25,0.6,0.19,0.68,0.47,0.49,0.52,0.52,0.35,0.67,0.74,0.92,0.53,0.55,0.7,0,0.11,0,0.3,0.31,0.35,0.34,0.11,0.1,0.1,0.09,0.86,0.04,0.11,0.11,0.36,0.37,0.31,0.69,0.03,0.5,0.5,0.01,0.83,0.67,0.03,0.33,0.67,0.04,0.15,0.3,0.28,0.29,0.54,0.55,0.59,0.58,0.34,0.49,0.43,0,0,0.15,0.51,0.4,0.65,0.53,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.05,0.06,0.02,?,?,?,?,0,?,0.05"
749,"48,?,?,DelRiocity,4,0.03,0.74,0.03,0.47,0.02,1,0.6,0.58,0.4,0.32,0,0,0.1,0.47,0.65,0.22,0.4,0.83,0.39,0.08,0.08,0.12,0.2,0.1,0.13,0.14,0.2,0.11,1,1,0.84,0.16,0.97,0.24,0.14,0.39,0.35,0.29,0.31,0.39,0.39,0.37,0.9,0.67,0.57,0.64,0.71,0.15,0,0.02,0.29,0.04,0.14,0.18,0.22,0.31,0.21,0.24,0.26,0.34,0,0.99,0.8,0.8,0.81,0.81,0.78,0.52,0.8,0.54,0.5,0.06,0.52,0.53,0.45,0.62,0.6,0.71,0.87,0.04,0.05,0.06,0.07,0.15,0.19,0.16,0.57,0.39,0.37,0,0,0.63,0.64,0.66,0.71,0.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.17,0.03,?,?,?,?,0,?,0.12"
750,"6,?,?,Dublincity,4,0.02,0.84,0.22,0.66,0.37,0.19,0.34,0.6,0.35,0.06,0.04,1,0.69,0.89,0.3,0.57,0.15,0.19,0.3,0.62,0.41,0.47,0.15,0.17,0.37,0.25,0.38,0.01,0.1,0.06,0.22,0.38,0.17,0.45,0.32,0.21,0.2,0.5,0.72,0.61,0.6,0.67,0.54,0.78,0.78,0.82,0.72,0.63,0.62,0.02,0.53,0.01,0.19,0.26,0.37,0.39,0.11,0.13,0.17,0.17,0.78,0.1,0.27,0.27,0.6,0.62,0.56,0.59,0.12,0.25,0.5,0.01,0.92,0.58,0,0.11,0.69,0.04,0.05,0.69,0.64,0.65,0.91,0.84,0.91,0.86,0.5,0.79,0.31,0,0,0.24,0.55,0.3,0.28,0.58,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.23,0.12,?,?,?,?,0,?,0.1"
751,"21,?,?,Owensborocity,4,0.07,0.34,0.13,0.9,0.02,0.01,0.43,0.47,0.32,0.49,0.08,1,0.17,0.43,0.4,0.36,0.56,0.38,0.5,0.21,0.22,0.22,0.17,0.11,0.17,0,0.2,0.09,0.5,0.44,0.49,0.23,0.51,0.4,0.41,0.43,0.51,0.33,0.62,0.34,0.65,0.67,0.4,0.51,0.54,0.58,0.56,0.61,0.55,0.03,0.22,0,0.6,0.44,0.36,0.34,0.02,0.01,0.01,0.01,0.99,0.02,0.14,0.13,0.34,0.39,0.3,0.54,0.11,0.51,0.5,0.07,0.77,0.51,0.1,0.48,0.52,0.55,0.07,0.07,0.06,0.07,0.1,0.13,0.13,0.11,0.44,0.11,0.26,0.02,0,0.01,0.86,0.54,0.8,0.78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.3,0.01,?,?,?,?,0,?,0.11"
752,"55,97,77200,StevensPointcity,4,0.02,0.51,0.01,0.94,0.17,0.01,0.94,0.99,1,0.39,0,0,0.17,0.48,0.23,0.64,0.55,0.35,0.44,0.24,0.17,0.17,0.11,0.07,0.06,0.21,0.19,0.04,0.57,0.39,0.33,0.38,0.36,0.38,0.26,0.64,0.43,0.38,0.23,0.96,0.24,0.24,0.38,0.59,0.68,0.61,0.54,0.64,0.58,0.01,0.14,0.01,1,1,1,0.95,0.35,0.25,0.2,0.17,0.86,0.08,0.19,0.19,0.33,0.35,0.36,0.39,0.09,0.55,0,0.02,0.84,0.4,0.06,0.27,0.35,0.15,0.04,0.09,0.07,0.07,0.23,0.24,0.26,0.23,0.56,0.37,0.61,0.01,0,0.1,0.83,0.36,0.29,0.71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.14,0.03,?,?,?,?,0,?,0.1"
753,"25,17,39625,Maynardtown,4,0,0.39,0.02,0.95,0.11,0.04,0.28,0.44,0.24,0.41,0.02,1,0.52,0.66,0.5,0.59,0.44,0.16,0.47,0.54,0.48,0.47,0.72,0.04,0.33,0.09,0.55,0,0.13,0.14,0.22,0.46,0.36,0.67,0.78,0.35,0.24,0.56,0.35,0.49,0.39,0.39,0.44,0.72,0.74,0.81,0.37,0.6,0.64,0,0.1,0,0.22,0.26,0.26,0.36,0.1,0.1,0.09,0.12,0.86,0.08,0.19,0.18,0.43,0.49,0.33,0.62,0.06,0.4,0.5,0.01,0.87,0.58,0,0.41,0.31,0.05,0,0.46,0.42,0.38,0.41,0.52,0.66,0.54,0.37,0.53,0.78,0,0,0.19,0.74,0.64,0.8,0.73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.16,0.08,?,?,?,?,0,?,0.11"
754,"53,?,?,Kennewickcity,4,0.05,0.42,0.02,0.85,0.12,0.16,0.44,0.51,0.31,0.27,0.07,1,0.27,0.64,0.36,0.43,0.32,0.43,0.41,0.31,0.26,0.27,0.3,0.12,0.22,0.2,0.24,0.05,0.36,0.2,0.29,0.31,0.44,0.55,0.24,0.53,0.33,0.45,0.59,0.34,0.64,0.65,0.52,0.55,0.61,0.56,0.64,0.3,0.37,0.02,0.21,0.01,0.53,0.5,0.58,0.56,0.18,0.15,0.15,0.14,0.84,0.13,0.3,0.27,0.46,0.54,0.4,0.45,0.2,0.53,0.5,0.06,0.74,0.42,0.14,0.69,0.69,0.25,0.2,0.11,0.11,0.11,0.19,0.19,0.2,0.19,0.3,0.15,0.15,0,0,0.14,0.44,0.37,0.5,0.56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.06,0.17,0.18,?,?,?,?,0,?,0.16"
755,"39,85,85036,Wickliffecity,4,0.01,0.43,0.05,0.95,0.04,0.01,0.32,0.41,0.25,0.6,0.02,1,0.35,0.53,0.23,0.59,0.72,0.1,0.9,0.35,0.31,0.3,0.34,0,0.3,0,0.43,0,0.1,0.23,0.4,0.17,0.24,0.44,0.71,0.33,0.41,0.32,0.36,0.38,0.35,0.36,0.42,0.71,0.73,0.88,0.65,0.4,0.35,0,0.03,0,0.09,0.06,0.07,0.07,0.03,0.02,0.02,0.02,0.86,0.06,0.18,0.19,0.45,0.45,0.38,0.85,0.07,0.24,0.5,0,0.97,0.84,0.08,0.26,0.38,0.04,0.12,0.16,0.13,0.12,0.31,0.3,0.31,0.3,0.27,0.2,0.31,0,0,0.14,0.8,0.96,0.86,0.94,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.26,0.06,?,?,?,?,0,?,0.05"
756,"37,?,?,Carrborotown,4,0,0.12,0.33,0.67,0.23,0.03,0.6,1,1,0.1,0.02,1,0.14,0.92,0.39,0.53,0.06,0.12,0.1,0.32,0.25,0.26,0.26,0.07,0.26,0.34,0.33,0.03,0.79,0.11,0.17,0.94,0.28,0.72,0.11,1,0.11,0.65,0.4,1,0.4,0.42,0.23,0.43,0.53,0.66,0.5,0.66,0.54,0.01,0.66,0,1,1,1,0.86,0.48,0.41,0.36,0.28,0.89,0.12,0,0,0.15,0.31,0.18,0.04,0.07,0.87,0,0.02,0.69,0.04,0.06,0.21,0.79,0.19,0.14,0.19,0.19,0.19,0.35,0.32,0.34,0.33,0.94,0.63,0.74,0,0,0.19,0.47,0,0,0.13,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.01,0.27,0.54,?,?,?,?,0,?,0.24"
757,"6,?,?,Duartecity,4,0.02,0.71,0.17,0.41,0.72,0.64,0.41,0.45,0.28,0.32,0.03,1,0.43,0.67,0.21,0.38,0.36,0.45,0.29,0.41,0.31,0.33,0.34,0.16,0.37,0.29,0.32,0.01,0.2,0.41,0.46,0.35,0.4,0.5,0.49,0.4,0.38,0.44,0.46,0.46,0.54,0.53,0.82,0.69,0.64,0.8,0.68,0.43,0.41,0.01,0.29,0.04,0.37,0.4,0.48,0.49,0.71,0.68,0.74,0.69,0.27,0.55,0.77,0.71,0.72,0.75,0.6,0.66,0.67,0.55,0.5,0.01,0.89,0.64,0.2,0.12,0.56,0.11,0.16,0.44,0.44,0.48,0.51,0.59,0.7,0.58,0.66,0.78,0.31,0,0,0.82,0.45,0.55,0.84,0.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.24,0.18,?,?,?,?,0,?,0.33"
758,"19,?,?,Bettendorfcity,4,0.03,0.43,0.03,0.96,0.06,0.04,0.41,0.4,0.22,0.31,0.04,1,0.47,0.71,0.46,0.72,0.36,0.12,0.47,0.48,0.43,0.42,0.46,0.26,0.34,0.51,0.51,0.01,0.11,0.09,0.15,0.55,0.2,0.66,0.37,0.42,0.25,0.59,0.37,0.25,0.39,0.39,0.47,0.78,0.81,0.8,0.66,0.64,0.62,0.01,0.12,0,0.05,0.07,0.1,0.18,0.01,0.01,0.01,0.02,0.94,0.03,0.14,0.15,0.47,0.53,0.27,0.75,0.03,0.35,0.5,0.02,0.88,0.7,0.1,0.23,0.6,0.06,0.07,0.13,0.12,0.14,0.26,0.26,0.3,0.28,0.18,0.2,0.26,0,0,0.05,0.54,0.57,0.62,0.51,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.06,0.11,0.03,?,?,?,?,0,?,0.19"
759,"48,?,?,SanMarcoscity,4,0.03,0.58,0.1,0.67,0.05,0.69,1,1,1,0.19,0,0,0.05,0.71,0.46,0.31,0.22,0.28,0.19,0.15,0.1,0.1,0.26,0.44,0.17,0.17,0.2,0.08,1,0.7,0.56,0.44,0.68,0.32,0.18,0.73,0.37,0.42,0.22,1,0.25,0.24,0.6,0.5,0.39,0.54,0.44,0.47,0.52,0.01,0.35,0.01,0.4,0.42,0.43,0.45,0.13,0.12,0.11,0.11,0.47,0.31,0.49,0.27,0.34,0.59,0.3,0.18,0.37,0.8,0,0.06,0.59,0.13,0.14,0.32,0.75,0.32,0.34,0.09,0.1,0.12,0.26,0.26,0.28,0.25,1,0.41,0.47,0.01,0,0.13,0.74,0.14,0.06,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.05,0.14,0.13,?,?,?,?,0,?,0.19"
760,"41,?,?,Bendcity,4,0.02,0.31,0,0.97,0.04,0.04,0.41,0.48,0.31,0.42,0,0,0.23,0.54,0.31,0.46,0.42,0.23,0.43,0.25,0.27,0.26,0.04,0.19,0.22,0.38,0.28,0.02,0.34,0.13,0.23,0.36,0.23,0.62,0.37,0.36,0.45,0.41,0.73,0.42,0.73,0.76,0.35,0.54,0.59,0.65,0.39,0.63,0.71,0.01,0.15,0,0.16,0.19,0.17,0.18,0.03,0.03,0.03,0.02,0.95,0.02,0.13,0.11,0.31,0.35,0.3,0.45,0.13,0.58,0,0.02,0.8,0.43,0.11,0.2,0.63,0.33,0.29,0.13,0.13,0.13,0.28,0.3,0.32,0.31,0.51,0.42,0.75,0.06,0.01,0.07,0.38,0.25,0.41,0.46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.04,0.13,0.02,?,?,?,?,0,?,0.21"
761,"34,5,17440,Delrantownship,4,0.01,0.63,0.14,0.85,0.14,0.02,0.5,0.49,0.34,0.3,0.02,0.98,0.58,0.76,0.44,0.6,0.38,0.09,0.43,0.54,0.41,0.41,0.36,0.2,0.28,0.26,0.39,0,0.03,0.16,0.3,0.36,0.24,0.66,0.39,0.39,0.3,0.5,0.25,0.44,0.3,0.28,0.65,0.78,0.78,0.71,0.7,0.46,0.51,0.01,0.2,0,0.21,0.21,0.26,0.26,0.07,0.06,0.07,0.06,0.87,0.05,0.26,0.29,0.69,0.75,0.41,0.79,0.05,0.29,0.5,0.01,0.76,0.74,0.05,0.11,0.58,0.09,0.18,0.34,0.34,0.31,0.62,0.58,0.6,0.56,0.53,0.34,0.46,0,0,0.14,0.45,0.91,0.84,0.79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,0.17,0.18,?,?,?,?,0,?,0.16"
762,"6,?,?,GroverCitycity,4,0,0.41,0.03,0.79,0.28,0.36,0.36,0.5,0.31,0.39,0,0,0.27,0.44,0.43,0.46,0.51,0.56,0.53,0.25,0.26,0.27,0.19,0.15,0.28,0.25,0.27,0.01,0.33,0.27,0.39,0.23,0.34,0.52,0.25,0.3,0.39,0.24,0.73,0.4,0.83,0.82,0.43,0.45,0.49,0.62,0.52,0.44,0.43,0.01,0.28,0.01,0.39,0.47,0.56,0.5,0.25,0.27,0.29,0.24,0.72,0.21,0.3,0.27,0.45,0.34,0.56,0.26,0.41,0.77,0,0.02,0.64,0.33,0.07,0.25,0.73,0.09,0,0.42,0.44,0.44,0.55,0.51,0.55,0.5,0.66,0.67,0.31,0,0,0.27,0.57,0.25,0.42,0.72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.42,0.04,?,?,?,?,0,?,0.19"
763,"9,3,60120,Plainvilletown,4,0.01,0.33,0.05,0.94,0.06,0.04,0.31,0.44,0.26,0.45,0.03,0.97,0.44,0.67,0.18,0.64,0.45,0.1,0.56,0.46,0.41,0.4,0.26,0.15,0.53,0.43,0.7,0.01,0.09,0.28,0.41,0.26,0.27,0.67,0.57,0.32,0.4,0.34,0.49,0.4,0.42,0.47,0.41,0.73,0.74,0.83,0.54,0.75,0.84,0,0.09,0.01,0.06,0.05,0.08,0.14,0.03,0.03,0.04,0.06,0.76,0.09,0.11,0.1,0.36,0.45,0.19,0.7,0.04,0.53,0.5,0.02,0.82,0.64,0.02,0.26,0.5,0.06,0.16,0.4,0.37,0.34,0.42,0.42,0.49,0.42,0.38,0.54,0.61,0.01,0,0.26,0.7,0.75,0.9,0.84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.03,0.15,0.01,?,?,?,?,0,?,0.04"
